Post date,Number of Views,Location,Company name,Job title,Category,Job type,Employment term,Required candidate level,Salary,Professional skills,Soft skills
23 April 2024,312,Yerevan                                            (Remote),ARMENIANS UNIFIED,Social Media Intern,Marketing/Advertising,Full time,Permanent,,700 USD - 700 USD Gross a month,['Social Media Marketing'],['Positive attitude']
22 April 2024,365,Yerevan,Ավանտա նորարարական բժշկության կենտրոն,Բուժքույր ստոմատոլոգիական կլինիկայի համար,Healthcare/Pharmaceutical,Full time,Permanent,Mid level,From 120000 AMD Net a month,['Windows Server'],[]
22 April 2024,807,Yerevan,Ավանտա նորարարական բժշկության կենտրոն,Ադմինիստրատոր,Administrative/office-work,Full time,Permanent,Senior,From 150000 AMD Net a month,['Customer Service skills'],"['Ability to work independently', 'Personal branding', 'Negotiation  skills', 'Written communication skills', 'Positive attitude', 'Time management', 'Problem solving', 'Conflict resolution skills', 'Customer/service oriented', 'Detail-oriented', 'Decision making', 'Teamwork', 'Hardworking', 'Sense of responsibility', 'Organizational skills', 'Work under pressure']"
22 April 2024,603,Gyumri,ՌԵՎԵԼ ՏՈՒՐ,Tour Manager,Tourism/Hospitality/HoReCa,Full time,Permanent,,,['Outgoing tourism'],[]
21 April 2024,472,Yerevan,Skyline Tour Service,Receptionist,Tourism/Hospitality/HoReCa,Full time,Contract,,,[],['Positive attitude']
04 April 2024,638,Yerevan,Ameriabank CJSC,Tech lead of product teams (Tribe),Software development,Full time,Permanent,Senior,,['Development Architecture'],[]
21 April 2024,319,Yerevan,TUMO Center for Creative Technologies,3D Scanning Technical Specialist,Art/Design/Architecture,Full time,Permanent,Junior,,['Photography'],['Communication']
21 April 2024,271,Yerevan,TUMO Center for Creative Technologies,Audio and Visual Specialist,IT Support/Technician,Full time,Permanent,Mid level,,['Audio technique'],['Teamwork']
21 April 2024,372,Yerevan,TUMO Center for Creative Technologies,Construction Procurement specialist,Education/training,Full time,Permanent,Mid level,,['Procurement'],['Communication']
21 April 2024,311,Yerevan,TUMO Center for Creative Technologies,Cost Estimator,Construction,Full time,Permanent,Mid level,,['Cost control'],['Communication']
21 April 2024,234,Yerevan,TUMO Center for Creative Technologies,3D Photogrammetry Scanning Technician,Motion Graphic Design,Full time,Permanent,Mid level,,['Adobe Lightroom'],['Communication']
21 April 2024,355,Yerevan,TUMO Center for Creative Technologies,PR Officer,Communications/Journalism/PR,Full time,Permanent,Senior,,['English'],['Communication']
21 April 2024,327,Yerevan,TUMO Center for Creative Technologies,Head of Engineering,Software development,Full time,Permanent,C level,,['Engineering'],[]
21 April 2024,308,Yerevan,TUMO Center for Creative Technologies,UX Researcher,Other IT,Full time,Permanent,,,['Initiative'],['Hardworking']
21 April 2024,640,Yerevan,ECOS,Customer Service Specialist,Sales/service management,Full time,Contract,Mid level,,"['CRM, Helpdesk, Amdocs', 'Zendesk։ Customer Service Software & Sales CRM']","['Fluent speech', 'english', 'Customer Support', 'Communication Skills']"
28 March 2024,662,Yerevan,Ameriabank CJSC,Mid+ Frontend Developer (ReactJS),Software development,Full time,Permanent,Mid level,,['Front-End'],[]
05 April 2024,461,Yerevan,CENTRAL BANK OF ARMENIA,Analyst/Operational and IT Risk Division/Risk Analysis Department,Banking/credit,Full time,Other,Mid level,,[],"['Analytical skills', 'Communication Skills']"
14 April 2024,690,Ashtarak,Fun Fruit,Administrative Assistant,Administrative/office-work,Full time,Permanent,Mid level,,"['MS Windows, MS Office']",[]
10 April 2024,574,Yerevan,Converse Bank,"Մասնագետ, Վճարային տերմինալների սպասարկման խումբ",IT Support/Technician,Full time,Permanent,Mid level,,"['Linux', 'TCP/IP']","['Problem solving', 'Teamwork']"
21 April 2024,403,Yerevan,AraratBank OJSC,Դիլինգային կենտրոնի ավագ դիլեր,Banking/credit,Full time,Contract,Senior,,"['ArmSoft accounting software', 'Banking legislation of RA']","['Analytical skills', 'Teamwork', 'Result-oriented']"
21 April 2024,427,Yerevan,Atenk Ltd,Բուժքույր,Healthcare/Pharmaceutical,Full time,Permanent,,,['Medical education'],[]
19 April 2024,660,Yerevan,MG Group,Bookkeeper,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,From 200000 AMD Net a month,"['ArmSoft accounting software', 'MS Excel', 'AS-Accountant']","['Detail-oriented', 'Fast orientation', 'Multitasking']"
21 April 2024,419,Yerevan,Ucom,Բիզնես ընթացակարգերի վերահսկման մասնագետ,Legal,Full time,Permanent,Mid level,,[],['Ability to work independently']
05 April 2024,467,Yerevan,AraratBank OJSC,Վարկային մասնագետ ք․ Երևան (ՓՄՁ վարկավորման բաժին ),Banking/credit,Full time,Permanent,,,['MS Office'],"['Negotiation  skills', 'Presentation skills', 'Analytical skills']"
05 April 2024,434,Gyumri,AraratBank OJSC,Վարկային մասնագետ ք․ Գյումրի (ՓՄՁ վարկավորման բաժին ),Banking/credit,Full time,Permanent,,,['MS Office'],"['Negotiation  skills', 'Presentation skills', 'Analytical skills']"
21 April 2024,552,Yerevan                                            (Remote),iBooben Development,Media Buyer (Canadian Market),Marketing/Advertising,Full time,Permanent,Senior,,"['Digital marketing', 'Media Planning', 'Performance management', 'Marketing Analysis', 'Proficiency in Google Analytics and social media analytics tools']","['Positive attitude', 'Time management', 'Problem solving', 'Detail-oriented', 'Goal-oriented', 'Communication Skills']"
21 April 2024,519,Yerevan,BostonGene Technologies,Bioinformatics Software Developer,Software development,Full time,Permanent,Mid level,,['Python'],['Detail-oriented']
05 April 2024,623,Yerevan,UNDP Armenia Office,Project Task Analyst - NPSA-8,Product/Project Management,Full time,Contract,Senior,,['Project management'],[]
